,month_id,Date,divisor
221,198603,1986-03-31,6996960.627877773
222,198604,1986-04-30,6975037.723441746
223,198605,1986-05-31,6980272.734990904
224,198606,1986-06-30,6971367.219642003
225,198607,1986-07-31,6998274.236087582
226,198608,1986-08-31,7008603.87854347
227,198609,1986-09-30,6990345.274943801
228,198610,1986-10-31,6972463.764447906
229,198611,1986-11-30,6945791.142865741
230,198612,1986-12-31,6918451.157244911
231,198701,1987-01-31,6946170.803460669
232,198702,1987-02-28,6948561.30981703
233,198703,1987-03-31,6935720.056350703
234,198704,1987-04-30,6957121.8494243305
235,198705,1987-05-31,6942834.380816959
236,198706,1987-06-30,6920121.556332237
237,198707,1987-07-31,6918910.848945584
238,198708,1987-08-31,6948271.010460885
239,198709,1987-09-30,6964777.163409254
240,198710,1987-10-31,6959301.383097026
241,198711,1987-11-30,6950174.281914894
242,198712,1987-12-31,6942800.302027683
243,198801,1988-01-31,6921804.037324464
244,198802,1988-02-29,6927600.109681876
245,198803,1988-03-31,6889415.21543899
246,198804,1988-04-30,6936399.858894885
247,198805,1988-05-31,6937582.695205217
248,198806,1988-06-30,6880149.384369287
249,198807,1988-07-31,6866510.802054997
250,198808,1988-08-31,6884343.886222851
251,198809,1988-09-30,6857604.016954139
252,198810,1988-10-31,6840039.851059253
253,198811,1988-11-30,6840546.57745707
254,198812,1988-12-31,6745145.41759686
255,198901,1989-01-31,6709569.252361582
256,198902,1989-02-28,6699772.269871217
257,198903,1989-03-31,6641313.1379930135
258,198904,1989-04-30,6648128.601763339
259,198905,1989-05-31,6638434.073536753
260,198906,1989-06-30,6632636.02938864
261,198907,1989-07-31,6624037.759333102
262,198908,1989-08-31,6649305.0871389955
263,198909,1989-09-30,6598109.11248747
264,198910,1989-10-31,6600286.444132683
265,198911,1989-11-30,6599698.032096303
266,198912,1989-12-31,6600406.185979061
267,199001,1990-01-31,6591883.936276893
268,199002,1990-02-28,6596087.319593841
269,199003,1990-03-31,6598922.113093487
270,199004,1990-04-30,6573756.636940749
271,199005,1990-05-31,6578381.838440882
272,199006,1990-06-30,6569009.845294956
273,199007,1990-07-31,6554005.662993121
274,199008,1990-08-31,6549426.2125651045
275,199009,1990-09-30,6544509.587485705
276,199010,1990-10-31,6549897.6922999015
277,199011,1990-11-30,6549705.243505989
278,199012,1990-12-31,6549853.641322451
279,199101,1991-01-31,6549250.269676969
280,199102,1991-02-28,6552493.245157599
281,199103,1991-03-31,6575833.0166302435
282,199104,1991-04-30,6577124.341447981
283,199105,1991-05-31,6578489.95170972
284,199106,1991-06-30,6602041.29317545
285,199107,1991-07-31,6607662.659710941
286,199108,1991-08-31,6609316.562665959
287,199109,1991-09-30,6641684.491343526
288,199110,1991-10-31,6643242.281538246
289,199111,1991-11-30,6672554.132075848
290,199112,1991-12-31,6687071.761490326
291,199201,1992-01-31,6717169.406357788
292,199202,1992-02-29,6720207.982190453
293,199203,1992-03-31,6758325.091964131
294,199204,1992-04-30,6746137.974755995
295,199205,1992-05-31,6747137.35945588
296,199206,1992-06-30,6790623.65824227
297,199207,1992-07-31,6804208.889759789
298,199208,1992-08-31,6807689.3520698985
299,199209,1992-09-30,6812310.147199617
300,199210,1992-10-31,6825749.207628738
301,199211,1992-11-30,6824585.910078822
302,199212,1992-12-31,6851098.09434601
303,199301,1993-01-31,6843961.43226674
304,199302,1993-02-28,6843209.405025035
305,199303,1993-03-31,6869077.99250559
306,199304,1993-04-30,6863877.901020014
307,199305,1993-05-31,6862699.447455519
308,199306,1993-06-30,6897929.264976805
309,199307,1993-07-31,6906722.79611943
310,199308,1993-08-31,6904730.084023643
311,199309,1993-09-30,6921036.079848778
312,199310,1993-10-31,6936790.370166514
313,199311,1993-11-30,6977012.776099525
314,199312,1993-12-31,6998728.3026047805
315,199401,1994-01-31,7007335.242987064
316,199402,1994-02-28,7027716.875829516
317,199403,1994-03-31,7056984.488076812
318,199404,1994-04-30,7059109.736837728
319,199405,1994-05-31,7056751.319687842
320,199406,1994-06-30,7128597.269537669
321,199407,1994-07-31,7134708.705620172
322,199408,1994-08-31,7137342.165647542
323,199409,1994-09-30,7202826.6098791845
324,199410,1994-10-31,7181582.920636181
325,199411,1994-11-30,7179361.8603837425
326,199412,1994-12-31,7191686.364366277
327,199501,1995-01-31,7189329.194390119
328,199502,1995-02-28,7199839.302746015
329,199503,1995-03-31,7216241.725749436
330,199504,1995-04-30,7206153.8503477685
331,199505,1995-05-31,7231177.495781777
332,199506,1995-06-30,7239057.2926801285
333,199507,1995-07-31,7258847.366050778
334,199508,1995-08-31,7266807.942087279
335,199509,1995-09-30,7278861.484659743
336,199510,1995-10-31,7301151.216036114
337,199511,1995-11-30,7324454.36664767
338,199512,1995-12-31,7339942.455717371
339,199601,1996-01-31,7377027.082943146
340,199602,1996-02-29,7393374.6414518375
341,199603,1996-03-31,7407196.233104182
342,199604,1996-04-30,7423303.662656496
343,199605,1996-05-31,7428951.497395833
344,199606,1996-06-30,7437465.298115205
345,199607,1996-07-31,7441524.040354715
346,199608,1996-08-31,7466457.797090446
347,199609,1996-09-30,7456369.693442552
348,199610,1996-10-31,7479738.263714606
349,199611,1996-11-30,7482836.672908246
350,199612,1996-12-31,7487515.012774387
351,199701,1997-01-31,7533120.554419584
352,199702,1997-02-28,7533043.593236488
353,199703,1997-03-31,7532641.522810123
354,199704,1997-04-30,7527580.634936481
355,199705,1997-05-31,7540228.877630075
356,199706,1997-06-30,7533288.868851256
357,199707,1997-07-31,7568515.727412076
358,199708,1997-08-31,7619068.4668124
359,199709,1997-09-30,7636429.414085593
360,199710,1997-10-31,7644795.520335647
361,199711,1997-11-30,7649565.138005307
362,199712,1997-12-31,7667778.447762848
363,199801,1998-01-31,7699735.283796467
364,199802,1998-02-28,7699026.760189243
365,199803,1998-03-31,7713350.575022691
366,199804,1998-04-30,7718880.040729705
367,199805,1998-05-31,7731699.103484076
368,199806,1998-06-30,7788618.019820919
369,199807,1998-07-31,7852961.271438068
370,199808,1998-08-31,7899113.620818883
371,199809,1998-09-30,7906730.494906638
372,199810,1998-10-31,7964072.030841836
373,199811,1998-11-30,7956584.546526816
374,199812,1998-12-31,7978664.901147466
375,199901,1999-01-31,8052303.807578975
376,199902,1999-02-28,8051619.775574766
377,199903,1999-03-31,8043312.349479544
378,199904,1999-04-30,8066381.617108742
379,199905,1999-05-31,8090909.020357725
380,199906,1999-06-30,8066389.017914381
381,199907,1999-07-31,8093692.499031022
382,199908,1999-08-31,8105027.675068728
383,199909,1999-09-30,8112198.48343546
384,199910,1999-10-31,8162742.998779804
385,199911,1999-11-30,8190891.833458971
386,199912,1999-12-31,8279989.395546197
387,200001,2000-01-31,8309084.717013553
388,200002,2000-02-29,8326972.598628511
389,200003,2000-03-31,8360885.516132158
390,200004,2000-04-30,8413732.687170109
391,200005,2000-05-31,8433903.49088146
392,200006,2000-06-30,8489372.902512064
393,200007,2000-07-31,8611808.549520943
394,200008,2000-08-31,8636355.996115044
395,200009,2000-09-30,8671929.826095529
396,200010,2000-10-31,8689966.394328417
