Date;Release Date;Type
2022-03-16;2022-04-06;Minute
2022-01-26;2022-02-16;Minute
2022-01-26;2022-01-26;Statement
2021-12-15;2022-01-05;Minute
2021-12-15;2021-12-15;Statement
2021-11-03;2021-11-03;Statement
2021-11-03;2021-11-24;Minute
2021-09-22;2021-09-22;Statement
2021-09-22;2021-10-13;Minute
2021-07-28;2021-08-18;Minute
2021-07-28;2021-07-28;Statement
2021-06-16;2021-06-16;Statement
2021-06-16;2021-07-07;Minute
2021-04-28;2021-05-19;Minute
2021-04-28;2021-04-28;Statement
2021-03-17;2021-04-07;Minute
2021-03-17;2021-03-17;Statement
2021-01-27;2021-02-17;Minute
2021-01-27;2021-01-27;Statement
2020-12-16;2020-12-16;Statement
2020-12-16;2021-01-06;Minute
2020-11-05;2020-11-25;Minute
2020-11-05;2020-11-05;Statement
2020-09-16;2020-09-16;Statement
2020-09-16;2020-10-07;Minute
2020-07-29;2020-08-19;Minute
2020-07-29;2020-07-29;Statement
2020-06-10;2020-06-10;Statement
2020-06-10;2020-07-01;Minute
2020-04-29;2020-04-29;Statement
2020-04-29;2020-05-20;Minute
2020-03-23;2020-03-23;Statement
2020-03-15;2020-03-15;Statement
2020-03-15;;Minute
2020-03-03;2020-03-03;Statement
2020-03-03;;Minute
2020-01-29;2020-02-19;Minute
2020-01-29;2020-01-29;Statement
2019-12-11;2019-12-11;Statement
2019-12-11;2020-01-03;Minute
2019-10-30;2019-10-30;Statement
2019-10-30;2019-11-20;Minute
2019-10-04;;Minute
2019-10-04;2019-10-11;Statement
2019-09-18;2019-09-18;Statement
2019-09-18;2019-10-09;Minute
2019-07-31;2019-08-21;Minute
2019-07-31;2019-07-31;Statement
2019-06-19;2019-06-19;Statement
2019-06-19;2019-07-10;Minute
2019-05-01;2019-05-01;Statement
2019-05-01;2019-05-22;Minute
2019-03-20;2019-03-20;Statement
2019-03-20;2019-04-10;Minute
2019-01-30;2019-01-30;Statement
2019-01-30;2019-02-20;Minute
2018-12-19;2018-12-19;Statement
2018-12-19;2019-01-09;Minute
2018-11-08;2018-11-29;Minute
2018-11-08;2018-11-08;Statement
2018-09-26;2018-10-17;Minute
2018-09-26;2018-09-26;Statement
2018-08-01;2018-08-22;Minute
2018-08-01;2018-08-01;Statement
2018-06-13;2018-07-05;Minute
2018-06-13;2018-06-13;Statement
2018-05-02;2018-05-02;Statement
2018-05-02;2018-05-23;Minute
2018-03-21;2018-04-11;Minute
2018-03-21;2018-03-21;Statement
2018-01-31;2018-01-31;Statement
2018-01-31;2018-02-21;Minute
2017-12-13;2017-12-13;Statement
2017-12-13;2018-01-03;Minute
2017-11-01;2017-11-22;Minute
2017-11-01;2017-11-01;Statement
2017-09-20;2017-10-11;Minute
2017-09-20;2017-09-20;Statement
2017-07-26;2017-07-26;Statement
2017-07-26;2017-08-16;Minute
2017-06-14;2017-06-14;Statement
2017-06-14;2017-07-05;Minute
2017-05-03;2017-05-03;Statement
2017-05-03;2017-05-24;Minute
2017-03-15;2017-03-15;Statement
2017-03-15;2017-04-05;Minute
2017-02-01;2017-02-22;Minute
2017-02-01;2017-02-01;Statement
2016-12-14;2017-01-04;Minute
2016-12-14;2016-12-14;Statement
2016-11-02;2016-11-23;Minute
2016-11-02;2016-11-02;Statement
2016-09-21;2016-09-21;Statement
2016-09-21;2016-10-12;Minute
2016-07-27;2016-08-17;Minute
2016-07-27;2016-07-27;Statement
2016-06-15;2016-06-15;Statement
2016-06-15;2016-07-06;Minute
2016-04-27;2016-04-27;Statement
2016-04-27;2016-05-18;Minute
2016-03-16;2016-04-06;Minute
2016-03-16;2016-03-16;Statement
2016-01-27;2016-01-27;Statement
2016-01-27;2016-02-17;Minute
2015-12-16;2015-12-16;Statement
2015-12-16;2016-01-06;Minute
2015-10-28;2015-11-18;Minute
2015-10-28;2015-10-28;Statement
2015-09-17;2015-10-08;Minute
2015-09-17;2015-09-17;Statement
2015-07-29;2015-08-19;Minute
2015-07-29;2015-07-29;Statement
2015-06-17;2015-07-08;Minute
2015-06-17;2015-06-17;Statement
2015-04-29;2015-04-29;Statement
2015-04-29;2015-05-20;Minute
2015-03-18;2015-04-08;Minute
2015-03-18;2015-03-18;Statement
