"date","Skewness","Moving average"
2018-10-23,-0.311338566174722,-0.139903557981597
2018-10-24,-0.385194409287841,-0.14169753162786
2018-10-25,-0.421463365151486,-0.14427314388905
2018-10-26,-0.43355077757267,-0.146587302041175
2018-10-29,-0.511330514827536,-0.148685341344675
2018-10-30,-0.482798591169414,-0.150662472058665
2018-10-31,-0.253468581004212,-0.151986086941289
2018-11-01,-0.445865508709276,-0.153219911409866
2018-11-02,-0.262050118333078,-0.153695041316743
2018-11-05,-0.302328708113371,-0.154420570467061
2018-11-06,-0.213184514632862,-0.153976613910547
2018-11-07,-0.179567933929263,-0.154432041959516
2018-11-08,-0.033708930924694,-0.152868845657392
2018-11-09,-0.352620891612477,-0.153771261105111
2018-11-12,-0.400842846699701,-0.155246165417789
2018-11-13,-0.293062620596449,-0.156161667577157
2018-11-14,-0.298353863686227,-0.157176210351781
2018-11-15,-0.172107039344274,-0.157508175327316
2018-11-16,-0.212745255282183,-0.158028461151099
2018-11-19,-0.476156684802655,-0.159290258300813
2018-11-20,-0.412971207189882,-0.160209591993901
2018-11-21,-0.37062281162878,-0.161405196322667
2018-11-23,-0.372855257007184,-0.162814111502064
2018-11-26,-0.207196343928618,-0.162792145091416
2018-11-27,-0.310339861030525,-0.163220360954853
2018-11-28,-0.0902861363666812,-0.163390345558395
2018-11-29,-0.0268561715263431,-0.163740601683739
2018-11-30,-0.238523245709842,-0.163396015413345
2018-12-03,-0.391607821470113,-0.163521868280151
2018-12-04,-0.294124021199094,-0.162718363071221
2018-12-05,-0.296729831010344,-0.161965148262922
2018-12-06,-0.904466745572414,-0.164628465086429
2018-12-07,-1.0670642598541,-0.168155868084498
2018-12-10,-0.860967831083522,-0.171393898869009
2018-12-11,-0.743702997725276,-0.173882905455008
2018-12-12,-0.531851305853561,-0.174938559290739
2018-12-13,-0.404558561356386,-0.176238029416496
2018-12-14,-0.437939691502607,-0.177313820819195
2018-12-17,-0.763731126391912,-0.179327115139768
2018-12-18,-0.622397390550904,-0.181336352324439
2018-12-19,-0.462755216726139,-0.183195414945711
2018-12-20,-0.800657728199282,-0.18633186375666
2018-12-21,-0.763244930065449,-0.19007760888796
2018-12-24,-1.18838881461708,-0.195284878292675
2018-12-26,-0.984239626123802,-0.19916079338741
2018-12-27,-1.05834134737637,-0.203697844644672
2018-12-28,-0.964679423892848,-0.206683685382222
2018-12-31,-0.847679458301302,-0.209841016438023
2019-01-02,-0.359792225838044,-0.211339853335784
2019-01-03,-1.14207688294777,-0.215611155081062
2019-01-04,-0.652859350140651,-0.217705837211932
2019-01-07,-0.66861874704263,-0.220272990577573
2019-01-08,-0.610016137353907,-0.222450148017844
2019-01-09,-0.877509191612973,-0.22657136027669
2019-01-10,-0.47601639502293,-0.228554331068598
2019-01-11,-0.501827069704545,-0.231144603377158
2019-01-14,-0.422613581590988,-0.232066078556425
2019-01-15,-0.538486768334669,-0.234094890892053
2019-01-16,-0.727294112426378,-0.237044191833922
2019-01-17,-0.503907100366007,-0.239903701714569
2019-01-18,-0.409230558399268,-0.241972098335916
2019-01-22,-0.628912191174736,-0.244611144101091
2019-01-23,-0.752609714795957,-0.248363896994646
2019-01-24,-0.81852696993803,-0.251659266170822
2019-01-25,-0.321871110929515,-0.254704168014998
2019-01-28,-0.668432853969257,-0.258546668558875
2019-01-29,-0.758282851097104,-0.262149108876915
2019-01-30,-0.493164768834811,-0.264977724863131
2019-01-31,-0.784009801596449,-0.268253302602954
2019-02-01,-0.285627986278893,-0.269990575354451
2019-02-04,-0.265860354754137,-0.270939879649678
2019-02-05,-0.290362008698953,-0.269729244722734
2019-02-06,-0.0571569882363134,-0.269059593629617
2019-02-07,-0.321533607840353,-0.270108400504888
2019-02-08,-0.457819911839069,-0.270108060569156
2019-02-11,-0.448239292823673,-0.270274286413559
2019-02-12,-0.426157708910288,-0.270350630022981
2019-02-13,-0.51844623967591,-0.271667824382984
2019-02-14,-0.512865680977361,-0.272684655661942
2019-02-15,-0.590996450538608,-0.274288793381638
