date,volatility_bp
2007-01-17,70.48
2007-01-25,70.16
2007-02-01,70.16
2007-02-08,72.08
2007-02-15,74.14
2007-02-22,74.87
2007-03-01,74.41
2007-03-08,73.59
2007-03-15,73.05
2007-03-22,72.08
2007-03-29,71.11
2007-04-05,70.79
2007-04-12,70.23
2007-04-20,68.83
2007-04-27,67.49
2007-05-04,66.69
2007-05-11,66.43
2007-05-18,66.92
2007-05-25,70.41
2007-06-01,74.19
2007-06-08,76.37
2007-06-15,77.97
2007-06-22,80.26
2007-06-29,81.46
2007-07-06,81.3
2007-07-14,83.93
2007-07-21,86.51
2007-07-28,88.09
2007-08-04,89.29
2007-08-11,90.25
2007-08-18,90.69
2007-08-25,91.71
2007-09-01,92.73
2007-09-08,93.75
2007-09-15,93.88
2007-09-22,92.85
2007-09-29,91.65
2007-10-07,91.79
2007-10-14,92.27
2007-10-21,92.75
2007-10-28,93.23
2007-11-04,96.47
2007-11-11,100.49
2007-11-18,103.32
2007-11-25,104.36
2007-12-02,104.71
2007-12-09,105.35
2007-12-16,107.93
2007-12-23,108.73
2007-12-31,110.66
2008-01-07,113.23
2008-01-14,115.5
2008-01-21,117.24
2008-01-28,119.0
2008-02-04,124.47
2008-02-11,126.87
2008-02-18,129.19
2008-02-25,131.68
2008-03-03,132.89
2008-03-10,131.5
2008-03-17,128.92
2008-03-25,125.98
2008-04-01,123.41
2008-04-08,120.83
2008-04-15,117.12
2008-04-22,114.67
2008-04-29,114.45
2008-05-06,114.47
2008-05-13,114.63
2008-05-20,117.11
2008-05-27,119.3
2008-06-03,119.5
2008-06-10,118.32
2008-06-18,116.47
2008-06-25,115.01
2008-07-02,114.93
2008-07-09,113.8
2008-07-16,110.2
2008-07-23,108.7
2008-07-30,108.96
2008-08-06,110.12
2008-08-13,111.24
2008-08-20,111.51
2008-08-27,116.82
2008-09-03,122.13
2008-09-11,128.2
2008-09-18,132.02
2008-09-25,135.14
2008-10-02,138.27
2008-10-09,141.39
2008-10-16,144.51
2008-10-23,147.63
2008-10-30,147.47
2008-11-06,146.61
2008-11-13,145.75
2008-11-20,144.9
2008-11-27,144.04
2008-12-05,143.06
2008-12-12,142.2
2008-12-19,142.07
2008-12-26,141.99
2009-01-02,141.91
2009-01-09,141.83
2009-01-16,141.75
2009-01-23,141.67
2009-01-30,141.59
2009-02-06,143.5
2009-02-13,142.82
2009-02-20,141.19
2009-02-28,139.33
2009-03-07,137.7
2009-03-14,136.07
2009-03-21,134.44
2009-03-28,132.81
2009-04-04,131.18
2009-04-11,129.55
2009-04-18,130.02
2009-04-25,132.16
2009-05-02,134.33
2009-05-09,139.13
2009-05-16,143.92
2009-05-24,149.4
2009-05-31,154.2
2009-06-07,159.0
2009-06-14,161.48
2009-06-21,161.84
2009-06-28,163.45
2009-07-05,165.06
2009-07-12,165.44
2009-07-19,166.4
2009-07-26,166.83
2009-08-02,164.68
2009-08-09,159.77
2009-08-17,154.49
2009-08-24,151.16
2009-08-31,150.68
2009-09-07,149.91
2009-09-14,147.34
2009-09-21,145.2
2009-09-28,144.78
2009-10-05,145.78
2009-10-12,146.89
2009-10-19,147.7
2009-10-26,143.8
2009-11-02,139.21
2009-11-10,135.65
2009-11-17,135.18
2009-11-24,136.73
2009-12-01,138.96
2009-12-08,140.25
2009-12-15,139.79
2009-12-22,139.04
2009-12-29,137.92
2010-01-05,135.95
2010-01-12,133.36
2010-01-19,131.36
2010-01-27,131.0
